epoch,train_loss,val_loss,val_wer,lr,time_elapsed
0,,75.51675415039062,0.9928184747695923,0.0001,27.05
1,207.30569458007812,51.664608001708984,0.9911842346191406,0.0001,50.2
2,57.98008346557617,48.64746856689453,0.9929799437522888,0.0001,73.86
3,50.24649429321289,46.595340728759766,0.9944920539855957,0.0001,97.14
4,47.50606918334961,44.60306930541992,0.9933923482894897,0.0001,115.72
5,44.8223991394043,42.84902572631836,0.9926694631576538,0.0001,133.57
6,41.62089920043945,42.0091438293457,0.9884307384490967,0.0001,151.05
7,38.28495788574219,40.13530731201172,0.9831517934799194,0.0001,168.56
8,35.4338493347168,38.52537155151367,0.9593392014503479,0.0001,193.04
9,32.219966888427734,38.58053970336914,0.9474321603775024,0.0001,216.74
10,28.941621780395508,39.518131256103516,0.9729197025299072,0.0001,241.11
11,26.20469856262207,34.840545654296875,0.930600643157959,0.0001,264.95
12,25.6391544342041,33.695167541503906,0.9143803715705872,0.0001,289.26
13,20.056949615478516,35.496822357177734,0.9456688165664673,0.0001,312.92
14,15.66707992553711,32.991455078125,0.927076518535614,0.0001,330.17
15,13.109940528869629,31.79043197631836,0.905621349811554,0.0001,354.54
16,11.155604362487793,32.168941497802734,0.8980059623718262,0.0001,378.42
17,9.236201286315918,30.02454948425293,0.9024325013160706,0.0001,402.97
18,6.795994281768799,31.152820587158203,0.9056921601295471,0.0001,427.0
19,5.091433525085449,31.02716827392578,0.8947129845619202,0.0001,444.23
20,3.6607768535614014,30.641725540161133,0.8944313526153564,0.0001,468.65
21,2.902898073196411,31.774198532104492,0.8928611278533936,0.0001,492.64
22,2.24161958694458,31.305402755737305,0.8910521268844604,0.0001,517.02
23,1.6795225143432617,31.178611755371094,0.8990380167961121,0.0001,540.88
24,1.3657019138336182,31.833553314208984,0.8824257850646973,0.0001,557.84
25,1.0084638595581055,32.35543441772461,0.8798257112503052,0.0001,582.24
26,0.6116424202919006,32.03865051269531,0.8789919018745422,0.0001,599.63
27,0.417222261428833,32.851829528808594,0.883090615272522,0.0001,616.75
28,0.2965075373649597,35.302791595458984,0.8786522150039673,0.0001,641.25
29,0.214620441198349,33.76224136352539,0.8776552081108093,0.0001,664.96
30,0.2578997015953064,33.143001556396484,0.891868531703949,0.0001,682.07
31,0.3298124670982361,34.94239807128906,0.8746629357337952,0.0001,699.91
32,0.4112032651901245,30.459814071655273,0.8941671848297119,0.0001,717.59
33,0.6707976460456848,31.804960250854492,0.8809472322463989,0.0001,741.49
34,0.6131144762039185,33.452789306640625,0.8802667856216431,0.0001,758.99
35,0.5162094235420227,33.741294860839844,0.8855972290039062,0.0001,776.71
36,0.3537806570529938,30.604616165161133,0.8893765807151794,0.0001,794.29
37,0.31348171830177307,31.70184898376465,0.8756078481674194,0.0001,811.4
38,0.18642424046993256,30.25376319885254,0.8725113272666931,0.0001,835.97
39,0.21675367653369904,31.33057403564453,0.9239924550056458,0.0001,852.74
40,0.27844998240470886,32.15608596801758,0.8771802186965942,0.0001,869.89
41,0.34200602769851685,33.75885772705078,0.8814621567726135,0.0001,894.17
42,0.3601350784301758,32.2333869934082,0.8984982371330261,0.0001,911.58
43,0.3711390197277069,34.75297546386719,0.8736264109611511,0.0001,935.28
44,0.5606188774108887,30.985130310058594,0.8700659275054932,0.0001,953.24
45,0.47015413641929626,30.351755142211914,0.8594385385513306,0.0001,971.1
46,0.3729444742202759,32.6953010559082,0.8598505258560181,0.0001,987.95
47,0.210581436753273,33.6786003112793,0.8520619869232178,0.0001,1004.85
48,0.1218121200799942,33.303462982177734,0.8481934666633606,0.0001,1029.37
49,0.06416510045528412,34.29535675048828,0.8616260886192322,0.0001,1046.37
