epoch,train_loss,val_loss,val_wer,lr,time_elapsed
0,,469.2908630371094,0.9882067441940308,0.0001,8.71
1,753.7352294921875,179.6243133544922,1.0,0.0001,34.95
2,205.56033325195312,158.65634155273438,1.0,0.0001,60.85
3,141.18348693847656,136.14378356933594,1.0,0.0001,90.17
4,128.50088500976562,133.7622833251953,1.0,0.0001,106.84
5,122.29588317871094,131.72207641601562,1.0,0.0001,122.26
6,118.26510620117188,129.78578186035156,1.0,0.0001,135.99
7,114.8028564453125,128.7027130126953,1.0,0.0001,148.77
8,111.64254760742188,128.43824768066406,1.0,0.0001,161.35
9,108.58329010009766,128.19070434570312,1.0,0.0001,175.15
10,105.3538818359375,129.59161376953125,0.9885714650154114,0.0001,189.9
11,101.77890014648438,130.169677734375,0.9885714650154114,0.0001,203.18
12,98.00135803222656,134.80426025390625,0.9939209818840027,0.0001,217.04
13,93.54268646240234,132.10751342773438,0.9824924468994141,0.0001,230.05
14,89.48623657226562,133.1729278564453,0.979452908039093,0.0001,242.47
15,83.81126403808594,130.1608428955078,0.9824924468994141,0.0001,260.33
16,76.70436096191406,130.8350067138672,0.9851671457290649,0.0001,274.03
17,70.63451385498047,129.21241760253906,0.9882067441940308,0.0001,288.37
18,64.67386627197266,145.35537719726562,1.0,0.0001,301.03
19,60.125,142.29286193847656,1.0,0.0001,313.42
20,69.37228393554688,150.9664306640625,0.9733738303184509,0.0001,327.28
21,72.33071899414062,126.84886169433594,0.979452908039093,0.0001,339.26
22,53.96121597290039,127.99735260009766,0.9851671457290649,0.0001,354.01
23,42.21357345581055,130.03709411621094,0.9737385511398315,0.0001,367.86
24,35.94499588012695,130.2059783935547,0.9737385511398315,0.0001,380.99
25,30.583049774169922,129.11851501464844,0.979452908039093,0.0001,392.8
26,25.990819931030273,131.26844787597656,0.979452908039093,0.0001,404.63
27,22.397214889526367,131.37158203125,0.976413369178772,0.0001,416.9
28,19.978309631347656,136.12289428710938,0.9619452357292175,0.0001,429.27
29,17.857585906982422,129.42324829101562,0.9676595330238342,0.0001,442.07
30,16.05718421936035,134.78819274902344,0.9733738303184509,0.0001,459.94
31,13.75199031829834,136.8320770263672,0.9649847745895386,0.0001,471.99
32,11.264219284057617,133.10316467285156,0.9733738303184509,0.0001,484.02
33,8.49886703491211,133.49098205566406,0.9680242538452148,0.0001,495.99
34,6.067718029022217,135.326171875,0.9619452357292175,0.0001,516.4
35,5.397341251373291,145.3601837158203,0.9737385511398315,0.0001,528.61
36,6.00546932220459,136.06298828125,0.9676595330238342,0.0001,540.32
37,4.943509101867676,135.87925720214844,0.9737385511398315,0.0001,559.17
38,3.8957104682922363,144.11367797851562,0.9824924468994141,0.0001,571.08
39,3.0107321739196777,139.32887268066406,0.9676595330238342,0.0001,583.86
40,2.9082679748535156,144.42124938964844,0.979452908039093,0.0001,597.24
41,2.3001794815063477,142.9441680908203,0.9737385511398315,0.0001,610.23
42,1.5849874019622803,145.8441925048828,0.9824924468994141,0.0001,621.86
43,1.168367624282837,147.18017578125,0.979452908039093,0.0001,634.45
44,0.9197321534156799,148.2851104736328,0.979452908039093,0.0001,646.52
45,0.7512025237083435,148.6935272216797,0.979452908039093,0.0001,658.58
46,0.6254629492759705,149.8828125,0.979452908039093,0.0001,671.92
47,0.5319451689720154,150.8330841064453,0.979452908039093,0.0001,685.61
48,0.4561779797077179,151.91661071777344,0.976413369178772,0.0001,697.83
49,0.391606867313385,152.6918487548828,0.9733738303184509,0.0001,709.6
