epoch,train_loss,val_loss,val_wer,lr,time_elapsed
0,,205.4431610107422,1.0,0.0001,10.24
1,458.7916564941406,133.91424560546875,1.0,0.0001,32.35
2,156.24765014648438,128.40811157226562,1.0,0.0001,54.33
3,133.97634887695312,123.19218444824219,1.0,0.0001,76.18
4,126.8475112915039,119.984375,1.0,0.0001,93.98
5,121.2802505493164,118.17759704589844,1.0,0.0001,108.97
6,117.11085510253906,117.222900390625,1.0,0.0001,122.7
7,112.95550537109375,117.0926513671875,1.0,0.0001,137.48
8,108.0766372680664,118.11238098144531,1.0,0.0001,152.69
9,102.9871826171875,117.46272277832031,0.9979166984558105,0.0001,167.44
10,98.28915405273438,118.15666198730469,1.0,0.0001,182.93
11,93.27607727050781,115.0291519165039,0.9914854764938354,0.0001,198.19
12,88.65706634521484,118.72591400146484,0.9935687780380249,0.0001,213.85
13,83.8554916381836,119.16156005859375,0.9914854764938354,0.0001,228.75
14,75.23727416992188,118.42488861083984,0.989402174949646,0.0001,244.1
15,69.18240356445312,120.45023345947266,0.9956521987915039,0.0001,258.59
16,62.33654022216797,117.85932922363281,0.9916666746139526,0.0001,273.95
17,56.28289031982422,117.5871810913086,0.9873188138008118,0.0001,290.21
18,52.40018844604492,114.00068664550781,0.9683877229690552,0.0001,304.95
19,47.92103576660156,118.046142578125,0.969031810760498,0.0001,319.45
20,44.57241439819336,126.9273681640625,0.9396035075187683,0.0001,341.31
21,42.3955078125,117.00444030761719,0.9597423672676086,0.0001,357.7
22,39.59218978881836,122.40937805175781,0.9810687899589539,0.0001,380.4
23,33.756103515625,131.5193634033203,0.9831522107124329,0.0001,394.91
24,27.347326278686523,119.81770324707031,0.9640398025512695,0.0001,409.28
25,21.939346313476562,114.75221252441406,0.9495571851730347,0.0001,426.12
26,16.5665225982666,117.39007568359375,0.9621879458427429,0.0001,444.83
27,13.162675857543945,131.87301635742188,0.9789854884147644,0.0001,468.76
28,10.856001853942871,131.0006103515625,0.9792169332504272,0.0001,483.94
29,9.408761978149414,119.52886962890625,0.9619565010070801,0.0001,498.34
30,7.514840126037598,119.50910949707031,0.9561694860458374,0.0001,513.2
31,6.738467216491699,122.76351165771484,0.9540861248970032,0.0001,528.83
32,5.846363067626953,136.50125122070312,0.976902186870575,0.0001,546.09
33,4.988197326660156,134.53762817382812,0.9723731875419617,0.0001,565.1
34,3.9671738147735596,125.30240631103516,0.9557568430900574,0.0001,579.01
35,3.044193744659424,127.9486083984375,0.9539049863815308,0.0001,594.24
36,2.4433672428131104,142.28187561035156,0.9748691320419312,0.0001,608.83
37,1.8081128597259521,139.7987060546875,0.9642713665962219,0.0001,630.27
38,1.338729739189148,139.20875549316406,0.9559882879257202,0.0001,646.28
39,1.0070432424545288,140.38662719726562,0.9541364908218384,0.0001,663.52
40,0.9120138883590698,142.4259796142578,0.9628321528434753,0.0001,678.71
41,0.8244248628616333,144.10232543945312,0.9518719911575317,0.0001,693.42
42,0.881214439868927,132.1049346923828,0.9584842920303345,0.0001,708.27
43,0.8510202169418335,131.95028686523438,0.954367995262146,0.0001,723.54
44,1.5035947561264038,127.16850280761719,0.9588969349861145,0.0001,739.73
45,1.8984956741333008,143.7689971923828,0.9500201344490051,0.0001,755.35
46,1.8308273553848267,141.92860412597656,0.9564512968063354,0.0001,770.41
47,1.129561185836792,134.90078735351562,0.9441827535629272,0.0001,785.14
48,0.6869146227836609,155.0805206298828,0.9562198519706726,0.0001,800.09
49,0.4994813799858093,136.5745849609375,0.9481682777404785,0.0001,815.1
