epoch,train_loss,val_loss,val_wer,lr,time_elapsed
0,,416.5920715332031,1.4631125926971436,0.0001,18.65
1,719.1929931640625,214.2848663330078,1.0248700380325317,0.0001,37.93
2,430.943603515625,142.33441162109375,0.9403541088104248,0.0001,57.89
3,240.34584045410156,122.02677917480469,0.9193633794784546,0.0001,77.17
4,179.83718872070312,102.60501098632812,0.8906065821647644,0.0001,96.95
5,154.05935668945312,85.98949432373047,0.8842317461967468,0.0001,116.57
6,133.2247314453125,73.89991760253906,0.9106869697570801,0.0001,135.95
7,116.1105728149414,65.5350112915039,0.9403595924377441,0.0001,156.09
8,102.83454895019531,59.82051086425781,0.947221040725708,0.0001,175.58
9,92.79846954345703,55.809349060058594,0.9543849229812622,0.0001,194.76
10,85.2724838256836,52.835044860839844,0.9539243578910828,0.0001,214.68
11,79.56642150878906,50.51451110839844,0.9510213732719421,0.0001,233.97
12,75.1236801147461,48.64788055419922,0.953975260257721,0.0001,253.39
13,71.5605239868164,47.119590759277344,0.9493050575256348,0.0001,272.32
14,68.62891387939453,45.862403869628906,0.9505611062049866,0.0001,291.66
15,66.16612243652344,44.82548522949219,0.9521453380584717,0.0001,311.56
16,64.06018829345703,43.97090148925781,0.9538006782531738,0.0001,331.15
17,62.23152542114258,43.26388931274414,0.9527837634086609,0.0001,350.82
18,60.622528076171875,42.67409896850586,0.9510707259178162,0.0001,371.09
19,59.1922607421875,42.17892074584961,0.9499104022979736,0.0001,390.67
20,57.909767150878906,41.75788116455078,0.9486402273178101,0.0001,409.48
21,56.74987030029297,41.396610260009766,0.9483006000518799,0.0001,429.59
22,55.69266128540039,41.08549880981445,0.9489552974700928,0.0001,448.19
23,54.72199249267578,40.81642150878906,0.9482235312461853,0.0001,465.3
24,53.82530975341797,40.583126068115234,0.9481964707374573,0.0001,485.26
25,52.99232482910156,40.38119125366211,0.948703944683075,0.0001,505.01
26,52.214881896972656,40.206512451171875,0.9514585733413696,0.0001,525.03
27,51.48634719848633,40.05485916137695,0.9517375826835632,0.0001,542.9
28,50.80125045776367,39.92424011230469,0.9538014531135559,0.0001,562.37
29,50.15487289428711,39.81282424926758,0.9534613490104675,0.0001,582.23
30,49.54328918457031,39.716556549072266,0.9534159302711487,0.0001,602.3
31,48.96290969848633,39.63590621948242,0.9518786668777466,0.0001,621.36
32,48.41067886352539,39.56867218017578,0.951169490814209,0.0001,638.8
33,47.884132385253906,39.51195526123047,0.9510439038276672,0.0001,656.68
34,47.380859375,39.46580505371094,0.9519575834274292,0.0001,674.03
35,46.899070739746094,39.4273796081543,0.9499402642250061,0.0001,691.09
36,46.436668395996094,39.396915435791016,0.9495816826820374,0.0001,708.55
