epoch,train_loss,val_loss,val_wer,val_cer,lr,time_elapsed
0,,178.5343780517578,1.0,1.0,0.0001,33.59
1,480.57122802734375,162.49026489257812,1.0,1.0,0.0001,86.99
2,193.63906860351562,159.56881713867188,1.0,1.0,0.0001,128.0
3,184.34698486328125,155.66310119628906,1.0,0.9959272146224976,0.0001,177.89
4,179.00970458984375,138.7237091064453,0.9970760345458984,0.9719569683074951,0.0001,214.0
5,165.1479034423828,105.00629425048828,0.9937865734100342,0.8052542805671692,0.0001,269.31
6,132.6876220703125,78.87786102294922,0.9786549806594849,0.6200411915779114,0.0001,316.54
7,94.62691497802734,62.1755485534668,0.9558374881744385,0.5215489268302917,0.0001,359.7
8,66.36831665039062,50.58494186401367,0.9288220405578613,0.3589136302471161,0.0001,414.24
9,47.786258697509766,45.28456115722656,0.8564327359199524,0.3138521909713745,0.0001,462.74
10,35.64216995239258,43.02484893798828,0.815288245677948,0.2915608584880829,0.0001,502.54
11,26.464975357055664,40.348751068115234,0.803592324256897,0.2602151930332184,0.0001,553.13
12,20.264751434326172,40.1202278137207,0.7958646416664124,0.2394258975982666,0.0001,7590.05
13,15.220715522766113,40.95443344116211,0.7941938042640686,0.2312554270029068,0.0001,7630.43
14,11.840072631835938,40.8001823425293,0.7694131135940552,0.22345036268234253,0.0001,7671.83
15,9.433140754699707,42.704864501953125,0.7752401828765869,0.2325625866651535,0.0001,7713.31
16,7.1941657066345215,44.50080490112305,0.7195593118667603,0.21419037878513336,0.0001,7754.01
17,6.062690258026123,44.15146255493164,0.7344924807548523,0.20663243532180786,0.0001,7794.34
18,5.033126354217529,43.93119430541992,0.7490288019180298,0.20745256543159485,0.0001,7835.7
19,4.303752899169922,44.93000411987305,0.8066729307174683,0.22607022523880005,0.0001,7877.93
